POLAR_ID,Mach,Alpha_deg,Re,CL,Cm,CN,SOURCE_ZIP,SOURCE_CSV,SOURCE_ROW
499,0.729787,3.19445,2712520,0.862386,-0.130546,0.863875,pressure_data_RWC.01_1-02-RUN-3-POLAR-499.zip,Force_data_RWC.01_1-02-RUN-3-POLAR-499.csv,2
500,0.740992,3.1946,2734520,0.822995,-0.14058,0.824416,pressure_data_RWC.01_1-02-RUN-3-POLAR-500.zip,Force_data_RWC.01_1-02-RUN-3-POLAR-500.csv,2
501,0.743788,3.19522,2740780,0.811091,-0.142644,0.812492,pressure_data_RWC.01_1-02-RUN-3-POLAR-501.zip,Force_data_RWC.01_1-02-RUN-3-POLAR-501.csv,2
502,0.731378,-1.98788,2718030,-0.0886674,-0.0858759,-0.088712,pressure_data_RWC.01_1-02-RUN-3-POLAR-502.zip,Force_data_RWC.01_1-02-RUN-3-POLAR-502.csv,2
502,0.730204,-1.02284,2711070,0.0952085,-0.0923001,0.0952191,pressure_data_RWC.01_1-02-RUN-3-POLAR-502.zip,Force_data_RWC.01_1-02-RUN-3-POLAR-502.csv,3
502,0.73035,-0.0243667,2710960,0.281563,-0.0979151,0.281564,pressure_data_RWC.01_1-02-RUN-3-POLAR-502.zip,Force_data_RWC.01_1-02-RUN-3-POLAR-502.csv,4
502,0.729583,1.0056,2708100,0.47447,-0.10336,0.47457,pressure_data_RWC.01_1-02-RUN-3-POLAR-502.zip,Force_data_RWC.01_1-02-RUN-3-POLAR-502.csv,5
502,0.729079,2.01144,2700450,0.671229,-0.109971,0.671716,pressure_data_RWC.01_1-02-RUN-3-POLAR-502.zip,Force_data_RWC.01_1-02-RUN-3-POLAR-502.csv,6
502,0.730316,2.99961,2708630,0.836264,-0.127748,0.837546,pressure_data_RWC.01_1-02-RUN-3-POLAR-502.zip,Force_data_RWC.01_1-02-RUN-3-POLAR-502.csv,7
502,0.729621,4.00133,2714170,0.929834,-0.1391,0.932304,pressure_data_RWC.01_1-02-RUN-3-POLAR-502.zip,Force_data_RWC.01_1-02-RUN-3-POLAR-502.csv,8
502,0.72824,4.99461,2708610,0.995605,-0.148731,0.999665,pressure_data_RWC.01_1-02-RUN-3-POLAR-502.zip,Force_data_RWC.01_1-02-RUN-3-POLAR-502.csv,9
509,0.300493,-0.019088,7590300,0.207339,-0.0653841,0.20734,pressure_data_RWC.01_1-02-RUN-3-POLAR-509.zip,Force_data_RWC.01_1-02-RUN-3-POLAR-509.csv,2
509,0.299756,1.97752,7574940,0.446527,-0.0696254,0.446841,pressure_data_RWC.01_1-02-RUN-3-POLAR-509.zip,Force_data_RWC.01_1-02-RUN-3-POLAR-509.csv,3
509,0.299834,3.98839,7598380,0.682798,-0.0731271,0.684601,pressure_data_RWC.01_1-02-RUN-3-POLAR-509.zip,Force_data_RWC.01_1-02-RUN-3-POLAR-509.csv,4
509,0.299992,5.99482,7574350,0.90593,-0.074911,0.911201,pressure_data_RWC.01_1-02-RUN-3-POLAR-509.zip,Force_data_RWC.01_1-02-RUN-3-POLAR-509.csv,5
509,0.299602,7.98325,7571330,1.10497,-0.0733526,1.11625,pressure_data_RWC.01_1-02-RUN-3-POLAR-509.zip,Force_data_RWC.01_1-02-RUN-3-POLAR-509.csv,6
509,0.298641,9.99069,7558860,1.23298,-0.0629545,1.25263,pressure_data_RWC.01_1-02-RUN-3-POLAR-509.zip,Force_data_RWC.01_1-02-RUN-3-POLAR-509.csv,7
509,0.299031,11.998,7565800,1.23878,-0.049192,1.26726,pressure_data_RWC.01_1-02-RUN-3-POLAR-509.zip,Force_data_RWC.01_1-02-RUN-3-POLAR-509.csv,8
509,0.298437,13.9998,7508320,1.17952,-0.0682217,1.21654,pressure_data_RWC.01_1-02-RUN-3-POLAR-509.zip,Force_data_RWC.01_1-02-RUN-3-POLAR-509.csv,9
509,0.298221,15,7485930,1.17861,-0.0897011,1.22118,pressure_data_RWC.01_1-02-RUN-3-POLAR-509.zip,Force_data_RWC.01_1-02-RUN-3-POLAR-509.csv,10
510,0.500384,-2.01578,11860600,-0.0415347,-0.066902,-0.0415563,pressure_data_RWC.01_1-02-RUN-3-POLAR-510.zip,Force_data_RWC.01_1-02-RUN-3-POLAR-510.csv,2
510,0.50014,-1.52395,11861200,0.021148,-0.0681475,0.0211539,pressure_data_RWC.01_1-02-RUN-3-POLAR-510.zip,Force_data_RWC.01_1-02-RUN-3-POLAR-510.csv,3
510,0.500267,-1.03412,11874400,0.0863757,-0.0694997,0.0863856,pressure_data_RWC.01_1-02-RUN-3-POLAR-510.zip,Force_data_RWC.01_1-02-RUN-3-POLAR-510.csv,4
