MA,BETA,AA,CL,CD,CN,CA,CM
0.2,-5,-2,-0.0284,0.00918,-0.0287,0.00776,-0.0104
0.2,-5,0,0.0386,0.00797,0.0386,0.00756,-0.016
0.2,-5,2,0.101,0.00959,0.102,0.00564,-0.021
0.2,-5,4,0.164,0.014,0.165,0.00215,-0.0264
0.2,-5,6,0.239,0.0229,0.24,-0.00236,-0.0348
0.2,-5,8,0.327,0.0393,0.329,-0.00656,-0.0472
0.2,-5,10,0.427,0.0647,0.432,-0.0103,-0.0616
0.2,-5,12,0.519,0.0954,0.527,-0.0144,-0.0707
0.2,-5,14,0.601,0.131,0.615,-0.0184,-0.0755
0.2,-5,16,0.687,0.173,0.708,-0.0229,-0.0819
0.2,-5,20,0.851,0.274,0.894,-0.0326,-0.094
0.2,-5,24,1.02,0.406,1.1,-0.0434,-0.111
0.2,-5,28,1.16,0.552,1.28,-0.0545,-0.126
0.2,-5,32,1.25,0.709,1.44,-0.0614,-0.146
0.2,-5,34,1.3,0.794,1.52,-0.0644,-0.157
0.2,-5,36,1.33,0.881,1.6,-0.0678,-0.169
0.2,-5,38,1.35,0.963,1.66,-0.0706,-0.179
0.2,-5,40,1.36,1.04,1.71,-0.0722,-0.188
0.2,-5,45,1.08,1.02,1.49,-0.046,-0.185
0.2,-5,50,0.79,0.92,1.22,-0.0119,-0.189
0.2,-5,55,0.704,0.987,1.22,-0.00894,-0.199
0.2,-5,60,0.645,1.09,1.27,-0.0113,-0.217
0.2,0,-2,-0.03053164,0.008874897,-0.03082277,0.007803952,-0.009785957
0.2,0,0,0.03802802,0.007577216,0.03802802,0.007577216,-0.01571468
0.2,0,2,0.1021548,0.009174223,0.1024127,0.005603482,-0.02086671
0.2,0,4,0.1668089,0.01380007,0.1673652,0.002130453,-0.02642615
0.2,0,6,0.2420405,0.0232044,0.2431401,-0.002222832,-0.03501477
0.2,0,8,0.3353592,0.04084404,0.3377799,-0.006226432,-0.04830012
0.2,0,10,0.4345841,0.06621439,0.4394798,-0.0102563,-0.06253863
0.2,0,12,0.536308,0.09892944,0.545157,-0.01473712,-0.0756128
0.2,0,14,0.6304066,0.1368018,0.6447762,-0.019771,-0.08369923
0.2,0,16,0.7034194,0.1759791,0.7246765,-0.02472671,-0.08358154
0.2,0,20,0.8429941,0.2723178,0.8852935,-0.03242597,-0.09079356
0.2,0,24,1.004526,0.4008252,1.080711,-0.04240556,-0.109153
0.2,0,28,1.173928,0.5622456,1.300475,-0.05469243,-0.1329974
0.2,0,32,1.302737,0.7350323,1.494292,-0.06700287,-0.1528421
0.2,0,34,1.349407,0.8228675,1.578851,-0.07239068,-0.1614446
0.2,0,36,1.381944,0.9094755,1.652592,-0.07650525,-0.1694087
0.2,0,38,1.400585,0.993766,1.715499,-0.07918777,-0.1774656
0.2,0,40,1.405028,1.074875,1.76723,-0.07973208,-0.1869908
0.2,0,45,1.069599,1.007089,1.468441,-0.04420156,-0.1801579
