MA,AA,Re,CL,CM,CD
0.698806,2.09938,19745700,0.36209,-0.0503584,0.0170009
0.699095,12.1321,4989410,0.88776,0.0636661,0.195845
0.699114,3.89702,19759100,0.5363,-0.0489857,0.0239428
0.699169,1.64946,19757000,0.317808,-0.0510371,0.0159022
0.699219,3.39534,19762600,0.487951,-0.0495681,0.0214962
0.699223,3.63645,19763000,0.51154,-0.0498997,0.0226863
0.699253,4.39363,19756800,0.583433,-0.0468571,0.0267549
0.699261,3.40017,29929200,0.489817,-0.0537973,0.0213344
0.699286,1.14434,19763400,0.267121,-0.0505216,0.0147164
0.699412,1.40148,29949300,0.294107,-0.0541026,0.0147938
0.69942,4.64218,19809100,0.6068,-0.0450934,0.0284591
0.6995,1.64953,29932700,0.318937,-0.0544174,0.0154481
0.699507,3.3808,19752000,0.487706,-0.0505487,0.021551
0.69955,2.89938,19760400,0.440562,-0.0504029,0.0195695
0.699603,0.647788,19750400,0.218405,-0.0499556,0.0137977
0.699644,-0.346092,29894300,0.120979,-0.0517025,0.0118435
0.699648,3.63867,29956500,0.513382,-0.0532443,0.0223104
0.699663,3.89592,29945900,0.538361,-0.0524386,0.0236163
0.699671,1.90883,4992920,0.341031,-0.0438051,0.0180956
0.699677,4.39072,29995300,0.585295,-0.0501003,0.0264587
0.699681,8.13492,4992070,0.819617,0.0222026,0.0903456
0.699686,2.63674,19767700,0.414549,-0.0503939,0.0186502
0.699691,4.63844,19806500,0.606854,-0.0444523,0.0282603
0.699699,6.63339,29983400,0.75281,-0.0158767,0.0502931
0.699721,2.40359,4996770,0.389407,-0.0445192,0.0195059
0.699732,-2.87755,4995140,-0.144887,-0.0281351,0.0156519
0.699748,0.211012,4993710,0.170215,-0.0400281,0.0148317
0.69976,1.14013,29964100,0.267916,-0.0539947,0.0142086
0.699767,4.14063,29960100,0.561033,-0.0513853,0.0249638
0.699793,-0.338072,19748500,0.120326,-0.0484009,0.0124744
0.699796,2.41383,4990650,0.38987,-0.0445111,0.0195323
0.699798,-1.82941,4995330,-0.0375145,-0.0321775,0.0142481
0.699798,4.89248,19772500,0.630371,-0.0436238,0.0302902
0.699815,3.14552,19780200,0.463576,-0.0501764,0.0205386
0.699818,10.6247,4993630,0.872474,0.0448021,0.157076
0.699821,2.14453,29945800,0.367958,-0.0546967,0.0168049
0.699834,11.6221,4994230,0.882683,0.0578883,0.183486
0.699836,0.652279,29941500,0.219681,-0.0533951,0.0132439
0.699843,2.66158,4995900,0.415188,-0.0442726,0.0203511
0.699846,3.65156,19780600,0.512515,-0.0489069,0.022632
0.699848,4.14249,19794200,0.558598,-0.0470173,0.0251697
0.69985,-0.854638,19750400,0.0690464,-0.0474043,0.012126
0.699857,1.89475,29948900,0.343194,-0.0545533,0.0160811
0.699866,2.91048,4991410,0.437791,-0.0443212,0.0212125
0.699897,-1.34449,29907200,0.0219359,-0.049599,0.0113516
0.699915,4.90104,19777400,0.631522,-0.0435765,0.0303495
0.699917,4.39146,19795300,0.582704,-0.0460089,0.0266224
0.699919,5.16254,4993330,0.652751,-0.0338015,0.0342657
0.699922,3.16357,4997360,0.461157,-0.0437048,0.0221658
0.699929,4.40832,4992430,0.578925,-0.0383933,0.0283757
0.699937,2.91292,4995100,0.437289,-0.0443259,0.0212387
0.699946,-0.834717,4993540,0.0642652,-0.0363842,0.0140536
0.699947,2.64515,29961700,0.416814,-0.0547271,0.0184245
0.699962,2.40232,29964400,0.392913,-0.0547519,0.0176366
0.699972,5.63697,19802800,0.694072,-0.0350661,0.0370174
0.700005,4.14768,4996180,0.554918,-0.0398835,0.0267895
0.700007,3.65118,19788100,0.512452,-0.0494594,0.0227795
0.700014,8.64264,4993370,0.838544,0.0318266,0.104928
0.700033,4.8889,30013300,0.632301,-0.0470536,0.0298982
0.700037,4.64393,30004000,0.608535,-0.0488056,0.0281693
0.700039,3.13881,29887900,0.466087,-0.0543224,0.0202824
0.700042,7.04772,4993330,0.784061,0.00461438,0.0628742
0.700044,4.65365,4994680,0.60329,-0.0369961,0.0301078
0.700052,4.15381,19811100,0.560331,-0.0476986,0.0253788
0.700057,2.15567,4995780,0.365616,-0.0441813,0.0188038
0.700062,3.90638,19784500,0.537589,-0.0490069,0.0240165
0.700062,-0.834162,29919100,0.0720573,-0.0508058,0.0115063
0.700071,1.16735,4994270,0.266683,-0.0425648,0.0163578
0.700077,-1.33572,4996030,0.0131149,-0.0344077,0.0140272
0.700082,4.63413,29974500,0.608026,-0.0488234,0.0280535
0.700086,4.64543,19791400,0.607083,-0.0454331,0.0284468
0.700091,3.16025,19760400,0.465559,-0.0507842,0.020697
0.700101,-2.89725,29932500,-0.134611,-0.0455316,0.012204
0.700123,4.64935,19779900,0.607834,-0.0453211,0.0285176
0.700124,3.16519,4996210,0.463623,-0.0436529,0.0221743
0.700127,5.15254,19800200,0.653729,-0.0414195,0.0324277
0.700131,9.11597,4993620,0.851726,0.0387185,0.117721
0.700136,2.15042,19777300,0.366966,-0.0512202,0.0172572
0.700149,4.13697,19771900,0.559862,-0.048101,0.0252216
0.700152,4.91366,4993420,0.628113,-0.0352475,0.0321229
0.700154,2.91018,4997710,0.439414,-0.0440247,0.0212011
0.700158,10.1263,4995460,0.859499,0.0426175,0.144262
0.700169,0.149635,19762300,0.168756,-0.0491849,0.0130171
0.700175,2.64863,19775600,0.416116,-0.0511859,0.0188156
0.700184,3.64265,29916100,0.513851,-0.053118,0.0224182
0.700187,3.89903,19776000,0.535878,-0.0480204,0.0238775
0.700212,3.40638,4996320,0.48751,-0.0427798,0.0231354
